starting print thread... 
starting setpoint thread... 
starting motion capture message receive thread... 
initializing imu... 
initializing controller...
-15.0000  -0.4000  -0.1000  -0.0850  
initializing motors...
resetting encoders...
initializing state...
initializing setpoint...
initializing odometry...
attaching imu interupt...
we are running!!!...
1539121120.507, -0.031, -0.610, -0.082
1539121120.607, -0.028, -0.597, -0.075
1539121120.707, -0.043, -0.597, -0.075
1539121120.807, -0.055, -0.446, -0.067
1539121120.906,  0.006,  0.109, -0.055
1539121121.006,  0.053,  0.565, -0.038
1539121121.106,  0.016,  0.731, -0.010
1539121121.216, -0.007,  1.001,  0.014
1539121121.316,  0.020,  1.460,  0.019
1539121121.416,  0.060,  1.967,  0.026
1539121121.516,  0.066,  2.194,  0.034
1539121121.615,  0.023,  2.243,  0.015
1539121121.715,  0.001,  2.342, -0.003
1539121121.815,  0.031,  2.650, -0.034
1539121121.915,  0.076,  2.948, -0.053
1539121122.015,  0.075,  2.971, -0.051
1539121122.115,  0.084,  2.971, -0.051
1539121122.215,  0.098,  2.859, -0.033
1539121122.314,  0.044,  2.352,  0.022
1539121122.414,  0.002,  1.858,  0.074
1539121122.514,  0.018,  1.681,  0.092
1539121122.614,  0.052,  1.453,  0.087
1539121122.714,  0.023,  0.962,  0.051
1539121122.814, -0.014,  0.443,  0.014
1539121122.914, -0.034,  0.125, -0.019
1539121123.013,  0.011,  0.090, -0.041
1539121123.113,  0.034, -0.045, -0.058
1539121123.213,  0.009, -0.340, -0.062
1539121123.313, -0.025, -0.638, -0.067
1539121123.413, -0.026, -0.667, -0.068
1539121123.513, -0.026, -0.667, -0.068
1539121123.613, -0.044, -0.667, -0.068
1539121123.713, -0.042, -0.452, -0.074
1539121123.812,  0.011,  0.067, -0.070
1539121123.922,  0.057,  0.526, -0.068
1539121124.022,  0.014,  0.648, -0.048
1539121124.122, -0.004,  0.885, -0.034
1539121124.222,  0.021,  1.312, -0.019
1539121124.322,  0.058,  1.787,  0.005
1539121124.422,  0.074,  2.024,  0.033
1539121124.521,  0.037,  2.024,  0.029
1539121124.621,  0.008,  2.028,  0.027
1539121124.721,  0.012,  2.262,  0.005
1539121124.821,  0.068,  2.612, -0.021
1539121124.921,  0.074,  2.634, -0.029
1539121125.021,  0.085,  2.628, -0.026
1539121125.121,  0.088,  2.464, -0.003
1539121125.221,  0.041,  1.970,  0.031
1539121125.320,  0.010,  1.514,  0.075
1539121125.420, -0.005,  1.187,  0.089
1539121125.520,  0.028,  1.004,  0.074
1539121125.620,  0.044,  0.770,  0.044
1539121125.720,  0.020,  0.334,  0.007
1539121125.820, -0.013, -0.135, -0.027
1539121125.920, -0.038, -0.423, -0.068
1539121126.020,  0.002, -0.446, -0.080
1539121126.119,  0.030, -0.462, -0.072
1539121126.220,  0.021, -0.674, -0.041
1539121126.319, -0.022, -0.985, -0.005
1539121126.419, -0.035, -1.039,  0.003
